node,degree,clustering,degree_centrality,betweenness,closeness
0,347,0.04214489180590029,0.08593363051015354,0.11929516828911223,0.3738196630253657
1,17,0.41911764705882354,0.004210004952947003,4.878425055080943e-05,0.28801711840228245
2,10,0.8888888888888888,0.0024764735017335313,7.595021178512074e-08,0.27228590694538096
3,17,0.6323529411764706,0.004210004952947003,7.297500628676069e-05,0.29180517415811535
4,10,0.8666666666666667,0.0024764735017335313,1.8403320547933104e-07,0.27228590694538096
5,13,0.3333333333333333,0.0032194155522535907,2.205964164092193e-06,0.2723409995278883
6,6,0.9333333333333333,0.0014858841010401188,2.4537760730577472e-08,0.2722124848321424
7,20,0.43157894736842106,0.004952947003467063,0.00011850701831874112,0.2865658931232702
8,8,0.6785714285714286,0.001981178801386825,2.7604980821899654e-07,0.27224919093851135
9,57,0.39724310776942356,0.014115898959881128,0.0001257303009418567,0.28865537207806136
10,10,0.8222222222222222,0.0024764735017335313,1.2260831439346238e-07,0.28053355564818677
11,1,0.0,0.00024764735017335313,0.0,0.2721207628546398
12,1,0.0,0.00024764735017335313,0.0,0.2721207628546398
13,31,0.6516129032258065,0.007677067855373947,4.43196171003738e-06,0.2838664323374341
14,15,0.7428571428571429,0.003714710252600297,5.790331594938503e-06,0.2775639263128952
15,1,0.0,0.00024764735017335313,0.0,0.2721207628546398
16,9,0.6666666666666666,0.002228826151560178,2.3563896872450386e-07,0.2723042686627554
17,13,0.7307692307692307,0.0032194155522535907,1.792460757217618e-05,0.2860786397449522
18,1,0.0,0.00024764735017335313,0.0,0.2721207628546398
19,17,0.25735294117647056,0.004210004952947003,9.353878559890927e-05,0.2816685267857143
20,16,0.6083333333333333,0.00396235760277365,4.9963064685932144e-05,0.28547189819724283
21,65,0.3490384615384615,0.016097077761267953,0.0014656631803184922,0.3077978504459181
22,11,0.4727272727272727,0.0027241208519068845,6.703002200833232e-07,0.2723042686627554
23,21,0.11428571428571428,0.005200594353640416,0.004957094242734877,0.32685769791160757
24,16,0.9,0.00396235760277365,1.6276455885675575e-06,0.27706875257307534
25,69,0.289002557544757,0.017087667161961365,0.00034694075485923063,0.2895869191049914
26,68,0.4113257243195786,0.016840019811788013,0.0001092226302367994,0.28935865281261197
27,5,0.9,0.0012382367508667657,3.067220091322184e-08,0.27219413549039434
28,13,0.7692307692307693,0.0032194155522535907,2.810913614024322e-06,0.2774876305662452
29,13,0.46153846153846156,0.0032194155522535907,5.809845547490555e-06,0.28251591688239
30,17,0.5,0.004210004952947003,7.317775494923574e-06,0.28125652991572053
31,23,0.43478260869565216,0.005695889053987122,2.3682829488556734e-05,0.28305060984158137
32,6,1.0,0.0014858841010401188,0.0,0.2729300439337614
